BOROUGH,BUILDING CLASS CATEGORY,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
Bronx,03  THREE FAMILY DWELLINGS,3,0,2593,3300,1970,535000,12/2/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,2980,2171,1930,549000,11/9/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,2980,2171,1930,235000,5/26/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,2500,3080,1930,485000,8/10/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,2500,3080,1930,380000,2/13/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,2500,3550,1935,95302,12/11/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,1900,2620,1970,300000,6/29/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,2445,2132,1996,538000,12/22/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,3000,3100,1985,540000,12/28/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,3000,3100,1985,345000,4/22/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,3225,2968,1975,341000,4/22/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,2586,3864,1988,65000,4/24/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,2500,3060,2004,300000,6/25/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,3025,3232,1975,576580,6/2/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,2984,3231,2006,299000,12/3/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,2300,3400,1988,630000,12/31/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,2300,3400,1988,340000,2/25/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,2300,3400,1988,240000,6/12/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,2788,3195,2004,352000,2/25/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,4126,3178,1989,600000,2/27/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,2500,2539,1910,295930,11/24/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,1710,1728,1962,400000,4/23/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,2779,2761,1974,463000,4/15/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,4750,3803,1910,287000,9/25/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,3000,3166,1976,556200,3/19/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,1888,2760,1965,465000,9/1/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,2375,3232,1960,550000,11/3/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,2375,2700,1993,477000,11/12/2015
